TIME	TYPE	COMMAND	ARG	HOST		ARG
4:38	PEPPER	start_animation	aplot/63turnsoutpermission	A_PLOT	aplot/	63turnsoutpermission
4:40	PEPPER	start_animation	bplot/56movebetweenc2-c3	B_PLOT	bplot/	56movebetweenc2-c3
4:43	PEPPER	start_animation	aplot/64itsthewaymade	A_PLOT	aplot/	64itsthewaymade
4:49	PEPPER	start_animation	aplot/65aplotcalmdown	A_PLOT	aplot/	65aplotcalmdown
4:51	PEPPER	start_animation	aplot/66icanhearhangon	A_PLOT	aplot/	66icanhearhangon
4:53	PEPPER	start_animation	bplot/57Bplotseesomething	B_PLOT	bplot/	57Bplotseesomething
4:57	PEPPER	start_animation	bplot/58shesdead	B_PLOT	bplot/	58shesdead
4:59	PEPPER	start_animation	aplot/67aplotthink	A_PLOT	aplot/	67aplotthink
5:03	PEPPER	start_animation	bplot/59turnstoAplot	B_PLOT	bplot/	59turnstoAplot
5:04	PEPPER	start_animation	bplot/60failedLiberty	B_PLOT	bplot/	60failedLiberty
5:06	PEPPER	start_animation	aplot/68idontnotallscreens	A_PLOT	aplot/	68idontnotallscreens
5:08	PEPPER	start_animation	aplot/69aplotmovesnextbplot	A_PLOT	aplot/	69aplotmovesnextbplot
5:10	PEPPER	start_animation	bplot/62lookscreens	B_PLOT	bplot/	62lookscreens
5:11	PEPPER	start_animation	aplot/70turnstoportraitscreens	A_PLOT	aplot/	70turnstoportraitscreens
5:12	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
5:12	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
5:17	PEPPER	start_animation	71.0wwhatthe			71.0wwhatthe
5:18	PEPPER	start_animation	63hell			63hell
5:19	PEPPER	start_animation	71.1attack			71.1attack
5:14	PEPPER	start_animation	aplot/72aplotarmsup(ADD TURN)	A_PLOT	aplot/	72aplotarmsup(ADD TURN)
5:14	PEPPER	start_animation	bplot/65aplotarmsup (ADD TURN)	B_PLOT	bplot/	65aplotarmsup (ADD TURN)
5:20	PEPPER	start_animation	aplot/73movestoleftwall	A_PLOT	aplot/	73movestoleftwall
5:20	PEPPER	start_animation	bplot/66movetoL3	B_PLOT	bplot/	66movetoL3
5:35	PEPPER	start_animation	aplot/74lookatscreens	A_PLOT	aplot/	74lookatscreens
